Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Gift Card,Status
stride-fitness-band,Stride Fitness Band,"<p>Lightweight activity tracker with sleep insights and long battery life.</p>",CyberNest,Electronics > Wearable Technology,Wearables,"wearables, fitness, new arrival",TRUE,Color,Black,CN-WR-011,90,shopify,72,deny,manual,59.00,79.00,TRUE,TRUE,,Stride Fitness Band,FALSE,active
aurora-smartwatch,Aurora Smartwatch,"<p>Everyday smartwatch with health tracking, notifications, and quick charging.</p>",CyberNest,Electronics > Wearable Technology,Wearables,"wearables, smartwatch, best seller",TRUE,Color,Midnight,CN-WR-012,180,shopify,38,deny,manual,149.00,189.00,TRUE,TRUE,,Aurora Smartwatch,FALSE,active
sonicbuds-air,SonicBuds Air,"<p>True wireless earbuds with clear calls, touch controls, and pocketable case.</p>",CyberNest,Electronics > Audio,Audio,"audio, earbuds, deals",TRUE,Color,White,CN-AU-013,110,shopify,85,deny,manual,49.00,69.00,TRUE,TRUE,,SonicBuds Air,FALSE,active
sonicbuds-pro,SonicBuds Pro,"<p>Noise-reducing wireless earbuds tuned for travel, calls, and playlists.</p>",CyberNest,Electronics > Audio,Audio,"audio, earbuds, premium",TRUE,Color,Black,CN-AU-014,130,shopify,46,deny,manual,99.00,129.00,TRUE,TRUE,,SonicBuds Pro,FALSE,active
studio-over-ear-headphones,Studio Over-Ear Headphones,"<p>Comfortable over-ear headphones with deep bass and fold-flat design.</p>",CyberNest,Electronics > Audio,Audio,"audio, headphones, home office",TRUE,Color,Graphite,CN-AU-015,420,shopify,33,deny,manual,89.00,119.00,TRUE,TRUE,,Studio Over-Ear Headphones,FALSE,active
voicecast-usb-mic,VoiceCast USB Mic,"<p>Plug-and-play microphone for meetings, streaming, and podcast recordings.</p>",CyberNest,Electronics > Audio,Creator Gear,"creator, audio, desk gear",TRUE,Color,Black,CN-CR-016,510,shopify,41,deny,manual,69.00,89.00,TRUE,TRUE,,VoiceCast USB Mic,FALSE,active
streamlight-webcam,StreamLight Webcam,"<p>1080p webcam with autofocus and built-in privacy cover.</p>",CyberNest,Electronics > Video,Creator Gear,"creator, webcam, home office",TRUE,Color,Black,CN-CR-017,220,shopify,58,deny,manual,54.00,74.00,TRUE,TRUE,,StreamLight Webcam,FALSE,active
creator-ring-light,Creator Ring Light,"<p>Adjustable LED ring light with desktop tripod and phone mount.</p>",CyberNest,Electronics > Camera & Optic Accessories,Creator Gear,"creator, lighting, video",TRUE,Size,10 in,CN-CR-018,760,shopify,39,deny,manual,42.00,56.00,TRUE,TRUE,,Creator Ring Light,FALSE,active
pixel-4k-action-cam,Pixel 4K Action Cam,"<p>Water-resistant action camera with 4K recording and stabilization modes.</p>",CyberNest,Electronics > Cameras,Camera,"camera, travel, creator",TRUE,Color,Black,CN-CM-019,360,shopify,22,deny,manual,159.00,199.00,TRUE,TRUE,,Pixel 4K Action Cam,FALSE,active
frame-digital-photo-display,Frame Digital Photo Display,"<p>WiFi photo frame for sharing albums with family and friends.</p>",CyberNest,Electronics > Electronics Accessories,Home Tech,"display, gift, smart home",TRUE,Size,10 in,CN-HT-020,680,shopify,31,deny,manual,109.00,139.00,TRUE,TRUE,,Frame Digital Photo Display,FALSE,active
arc-65w-usb-c-charger,Arc 65W USB-C Charger,"<p>Compact wall charger for laptops, tablets, and phones.</p>",CyberNest,Electronics > Electronics Accessories,Chargers,"charger, usb-c, travel",TRUE,Color,White,CN-CH-021,150,shopify,100,deny,manual,32.00,42.00,TRUE,TRUE,,Arc 65W USB-C Charger,FALSE,active
arc-100w-gan-charger,Arc 100W GaN Charger,"<p>High-output charger with multiple ports for full desk power.</p>",CyberNest,Electronics > Electronics Accessories,Chargers,"charger, usb-c, desk gear",TRUE,Color,Black,CN-CH-022,230,shopify,62,deny,manual,59.00,79.00,TRUE,TRUE,,Arc 100W GaN Charger,FALSE,active
magdock-wireless-charger,MagDock Wireless Charger,"<p>Magnetic wireless charging stand for phones and earbuds.</p>",CyberNest,Electronics > Electronics Accessories,Chargers,"charger, wireless, desk gear",TRUE,Color,Silver,CN-CH-023,420,shopify,50,deny,manual,44.00,59.00,TRUE,TRUE,,MagDock Wireless Charger,FALSE,active
trio-charging-station,Trio Charging Station,"<p>Three-device charging station for phone, watch, and earbuds.</p>",CyberNest,Electronics > Electronics Accessories,Chargers,"charger, wireless, best seller",TRUE,Color,White,CN-CH-024,560,shopify,36,deny,manual,79.00,99.00,TRUE,TRUE,,Trio Charging Station,FALSE,active
volt-20000-power-bank,Volt 20000 Power Bank,"<p>High-capacity portable battery with USB-C fast charging.</p>",CyberNest,Electronics > Electronics Accessories,Power,"power bank, travel, usb-c",TRUE,Color,Black,CN-PW-025,430,shopify,74,deny,manual,49.00,64.00,TRUE,TRUE,,Volt 20000 Power Bank,FALSE,active
volt-slim-power-bank,Volt Slim Power Bank,"<p>Pocket-friendly portable charger for daily backup power.</p>",CyberNest,Electronics > Electronics Accessories,Power,"power bank, travel, deals",TRUE,Color,Blue,CN-PW-026,220,shopify,88,deny,manual,29.00,39.00,TRUE,TRUE,,Volt Slim Power Bank,FALSE,active
braid-usb-c-cable-3ft,Braid USB-C Cable 3 ft,"<p>Durable braided USB-C cable for charging and data transfer.</p>",CyberNest,Electronics > Electronics Accessories,Cables,"cable, usb-c, accessory",TRUE,Length,3 ft,CN-CB-027,70,shopify,140,deny,manual,12.00,16.00,TRUE,TRUE,,Braid USB-C Cable 3 ft,FALSE,active
braid-usb-c-cable-6ft,Braid USB-C Cable 6 ft,"<p>Extra-reach braided USB-C cable for desks, couches, and nightstands.</p>",CyberNest,Electronics > Electronics Accessories,Cables,"cable, usb-c, accessory",TRUE,Length,6 ft,CN-CB-028,100,shopify,120,deny,manual,16.00,21.00,TRUE,TRUE,,Braid USB-C Cable 6 ft,FALSE,active
swift-hdmi-21-cable,Swift HDMI 2.1 Cable,"<p>High-speed HDMI cable for consoles, monitors, and 4K entertainment.</p>",CyberNest,Electronics > Electronics Accessories,Cables,"cable, hdmi, gaming",TRUE,Length,6 ft,CN-CB-029,160,shopify,95,deny,manual,19.00,25.00,TRUE,TRUE,,Swift HDMI 2.1 Cable,FALSE,active
link-7-in-1-usb-c-hub,Link 7-in-1 USB-C Hub,"<p>Portable hub with HDMI, USB, SD, and pass-through charging.</p>",CyberNest,Electronics > Electronics Accessories,Docks & Hubs,"usb-c, hub, home office",TRUE,Color,Space Gray,CN-DK-030,180,shopify,66,deny,manual,45.00,60.00,TRUE,TRUE,,Link 7-in-1 USB-C Hub,FALSE,active
link-12-in-1-dock,Link 12-in-1 Dock,"<p>Desktop docking station for monitors, peripherals, and wired networking.</p>",CyberNest,Electronics > Electronics Accessories,Docks & Hubs,"dock, usb-c, desk gear",TRUE,Color,Space Gray,CN-DK-031,620,shopify,29,deny,manual,119.00,149.00,TRUE,TRUE,,Link 12-in-1 Dock,FALSE,active
elevate-laptop-stand,Elevate Laptop Stand,"<p>Aluminum laptop stand that improves posture and desk airflow.</p>",CyberNest,Electronics > Electronics Accessories,Desk Gear,"desk gear, laptop, home office",TRUE,Color,Silver,CN-DG-032,780,shopify,57,deny,manual,39.00,52.00,TRUE,TRUE,,Elevate Laptop Stand,FALSE,active
foldaway-tablet-stand,FoldAway Tablet Stand,"<p>Adjustable folding stand for tablets, phones, and portable screens.</p>",CyberNest,Electronics > Electronics Accessories,Desk Gear,"desk gear, tablet, accessory",TRUE,Color,Black,CN-DG-033,210,shopify,70,deny,manual,18.00,24.00,TRUE,TRUE,,FoldAway Tablet Stand,FALSE,active
focus-mechanical-keyboard,Focus Mechanical Keyboard,"<p>Compact mechanical keyboard with tactile switches and white backlight.</p>",CyberNest,Electronics > Electronics Accessories,Keyboards,"keyboard, desk gear, gaming",TRUE,Switch,Tactile,CN-KB-034,720,shopify,34,deny,manual,84.00,109.00,TRUE,TRUE,,Focus Mechanical Keyboard,FALSE,active
focus-low-profile-keyboard,Focus Low Profile Keyboard,"<p>Slim wireless keyboard built for quiet typing and multi-device work.</p>",CyberNest,Electronics > Electronics Accessories,Keyboards,"keyboard, wireless, home office",TRUE,Color,Graphite,CN-KB-035,520,shopify,49,deny,manual,69.00,89.00,TRUE,TRUE,,Focus Low Profile Keyboard,FALSE,active
glide-wireless-mouse,Glide Wireless Mouse,"<p>Ergonomic wireless mouse with silent clicks and precision tracking.</p>",CyberNest,Electronics > Electronics Accessories,Mice,"mouse, wireless, desk gear",TRUE,Color,Black,CN-MS-036,140,shopify,86,deny,manual,29.00,39.00,TRUE,TRUE,,Glide Wireless Mouse,FALSE,active
glide-pro-mouse,Glide Pro Mouse,"<p>Rechargeable productivity mouse with side buttons and fast scrolling.</p>",CyberNest,Electronics > Electronics Accessories,Mice,"mouse, wireless, home office",TRUE,Color,Graphite,CN-MS-037,180,shopify,51,deny,manual,54.00,72.00,TRUE,TRUE,,Glide Pro Mouse,FALSE,active
control-xl-desk-mat,Control XL Desk Mat,"<p>Large water-resistant desk mat for keyboard, mouse, and accessories.</p>",CyberNest,Electronics > Electronics Accessories,Desk Gear,"desk mat, desk gear, gaming",TRUE,Color,Charcoal,CN-DG-038,390,shopify,78,deny,manual,24.00,32.00,TRUE,TRUE,,Control XL Desk Mat,FALSE,active
tidy-cable-kit,Tidy Cable Kit,"<p>Cable clips, ties, and sleeves for cleaner desk and media setups.</p>",CyberNest,Electronics > Electronics Accessories,Desk Gear,"cable management, desk gear, accessory",TRUE,Color,Black,CN-DG-039,180,shopify,110,deny,manual,17.00,23.00,TRUE,TRUE,,Tidy Cable Kit,FALSE,active
rise-monitor-arm,Rise Monitor Arm,"<p>Adjustable single monitor arm with clamp mount and cable routing.</p>",CyberNest,Electronics > Electronics Accessories,Desk Gear,"monitor, desk gear, home office",TRUE,Color,Black,CN-DG-040,2600,shopify,24,deny,manual,79.00,99.00,TRUE,TRUE,,Rise Monitor Arm,FALSE,active
clarity-24-monitor,Clarity 24 Monitor,"<p>Full HD monitor with slim bezels for everyday work and study.</p>",CyberNest,Electronics > Computers,Monitors,"monitor, home office, display",TRUE,Size,24 in,CN-MN-041,3900,shopify,18,deny,manual,139.00,179.00,TRUE,TRUE,,Clarity 24 Monitor,FALSE,active
clarity-27-qhd-monitor,Clarity 27 QHD Monitor,"<p>QHD monitor with crisp detail for multitasking and creative work.</p>",CyberNest,Electronics > Computers,Monitors,"monitor, creator, display",TRUE,Size,27 in,CN-MN-042,5200,shopify,16,deny,manual,229.00,279.00,TRUE,TRUE,,Clarity 27 QHD Monitor,FALSE,active
nova-gaming-headset,Nova Gaming Headset,"<p>Comfortable gaming headset with boom mic and spatial audio support.</p>",CyberNest,Electronics > Audio,Gaming,"gaming, headset, audio",TRUE,Color,Black,CN-GM-043,360,shopify,45,deny,manual,64.00,84.00,TRUE,TRUE,,Nova Gaming Headset,FALSE,active
nova-rgb-keyboard,Nova RGB Keyboard,"<p>Full-size RGB keyboard with responsive switches and media controls.</p>",CyberNest,Electronics > Electronics Accessories,Gaming,"gaming, keyboard, rgb",TRUE,Switch,Linear,CN-GM-044,860,shopify,32,deny,manual,74.00,99.00,TRUE,TRUE,,Nova RGB Keyboard,FALSE,active
strike-gaming-mouse,Strike Gaming Mouse,"<p>Lightweight wired gaming mouse with adjustable DPI and grip texture.</p>",CyberNest,Electronics > Electronics Accessories,Gaming,"gaming, mouse, deals",TRUE,Color,Black,CN-GM-045,120,shopify,68,deny,manual,34.00,46.00,TRUE,TRUE,,Strike Gaming Mouse,FALSE,active
coolpad-laptop-cooling-stand,CoolPad Laptop Cooling Stand,"<p>Angled laptop cooling pad with quiet fans and USB passthrough.</p>",CyberNest,Electronics > Electronics Accessories,Computer Accessories,"laptop, cooling, gaming",TRUE,Color,Black,CN-CA-046,940,shopify,37,deny,manual,36.00,49.00,TRUE,TRUE,,CoolPad Laptop Cooling Stand,FALSE,active
shield-laptop-sleeve-13,Shield Laptop Sleeve 13 in,"<p>Padded laptop sleeve with soft lining and water-resistant shell.</p>",CyberNest,Electronics > Electronics Accessories,Bags & Cases,"laptop, case, travel",TRUE,Size,13 in,CN-BC-047,240,shopify,73,deny,manual,22.00,30.00,TRUE,TRUE,,Shield Laptop Sleeve 13 in,FALSE,active
shield-laptop-sleeve-15,Shield Laptop Sleeve 15 in,"<p>Protective laptop sleeve sized for larger notebooks and daily commutes.</p>",CyberNest,Electronics > Electronics Accessories,Bags & Cases,"laptop, case, travel",TRUE,Size,15 in,CN-BC-048,290,shopify,61,deny,manual,26.00,35.00,TRUE,TRUE,,Shield Laptop Sleeve 15 in,FALSE,active
roam-tech-organizer,Roam Tech Organizer,"<p>Compact pouch for chargers, cables, earbuds, and travel essentials.</p>",CyberNest,Electronics > Electronics Accessories,Bags & Cases,"travel, organizer, accessory",TRUE,Color,Gray,CN-BC-049,210,shopify,84,deny,manual,24.00,32.00,TRUE,TRUE,,Roam Tech Organizer,FALSE,active
roam-power-backpack,Roam Power Backpack,"<p>Commuter backpack with padded laptop pocket and cable pass-through.</p>",CyberNest,Luggage & Bags > Backpacks,Bags & Cases,"backpack, travel, laptop",TRUE,Color,Black,CN-BC-050,890,shopify,27,deny,manual,69.00,89.00,TRUE,TRUE,,Roam Power Backpack,FALSE,active
snap-phone-grip-stand,Snap Phone Grip Stand,"<p>Magnetic phone grip that folds into a stable video stand.</p>",CyberNest,Electronics > Electronics Accessories,Phone Accessories,"phone, stand, accessory",TRUE,Color,Black,CN-PA-051,60,shopify,130,deny,manual,14.00,19.00,TRUE,TRUE,,Snap Phone Grip Stand,FALSE,active
clearcase-phone-cover,ClearCase Phone Cover,"<p>Slim transparent phone case with raised edges and flexible sides.</p>",CyberNest,Electronics > Electronics Accessories,Phone Accessories,"phone, case, accessory",TRUE,Size,Universal,CN-PA-052,80,shopify,115,deny,manual,18.00,24.00,TRUE,TRUE,,ClearCase Phone Cover,FALSE,active
glassguard-screen-protector,GlassGuard Screen Protector,"<p>Tempered glass screen protector with install frame and cleaning kit.</p>",CyberNest,Electronics > Electronics Accessories,Phone Accessories,"phone, screen protector, accessory",TRUE,Pack,2 Pack,CN-PA-053,70,shopify,150,deny,manual,13.00,18.00,TRUE,TRUE,,GlassGuard Screen Protector,FALSE,active
drive-usb-c-car-charger,Drive USB-C Car Charger,"<p>Fast dual-port car charger for phones, tablets, and navigation gear.</p>",CyberNest,Electronics > Electronics Accessories,Chargers,"car, charger, travel",TRUE,Color,Black,CN-CH-054,90,shopify,93,deny,manual,19.00,26.00,TRUE,TRUE,,Drive USB-C Car Charger,FALSE,active
dash-mini-car-mount,Dash Mini Car Mount,"<p>Low-profile magnetic car mount for hands-free navigation.</p>",CyberNest,Electronics > Electronics Accessories,Phone Accessories,"car, phone, mount",TRUE,Color,Black,CN-PA-055,110,shopify,77,deny,manual,16.00,22.00,TRUE,TRUE,,Dash Mini Car Mount,FALSE,active
trail-bluetooth-tracker,Trail Bluetooth Tracker,"<p>Bluetooth item tracker for keys, bags, luggage, and daily essentials.</p>",CyberNest,Electronics > Electronics Accessories,Trackers,"tracker, travel, smart home",TRUE,Pack,1 Pack,CN-TR-056,30,shopify,105,deny,manual,24.00,30.00,TRUE,TRUE,,Trail Bluetooth Tracker,FALSE,active
trail-tracker-4-pack,Trail Tracker 4-Pack,"<p>Four Bluetooth trackers for family bags, keys, and checked luggage.</p>",CyberNest,Electronics > Electronics Accessories,Trackers,"tracker, travel, value pack",TRUE,Pack,4 Pack,CN-TR-057,120,shopify,48,deny,manual,79.00,99.00,TRUE,TRUE,,Trail Tracker 4-Pack,FALSE,active
spark-kids-headphones,Spark Kids Headphones,"<p>Volume-limited headphones with soft ear cushions and sturdy cable.</p>",CyberNest,Electronics > Audio,Audio,"kids, headphones, audio",TRUE,Color,Blue,CN-AU-058,240,shopify,54,deny,manual,24.00,34.00,TRUE,TRUE,,Spark Kids Headphones,FALSE,active
learn-tablet-stylus,Learn Tablet Stylus,"<p>Rechargeable stylus for note taking, sketching, and tablet learning.</p>",CyberNest,Electronics > Electronics Accessories,Tablet Accessories,"tablet, stylus, school",TRUE,Color,White,CN-TA-059,50,shopify,82,deny,manual,29.00,39.00,TRUE,TRUE,,Learn Tablet Stylus,FALSE,active
clean-screen-care-kit,Clean Screen Care Kit,"<p>Microfiber cloths and screen-safe spray for laptops, tablets, and phones.</p>",CyberNest,Electronics > Electronics Accessories,Cleaning,"cleaning, accessory, desk gear",TRUE,Pack,Kit,CN-CL-060,260,shopify,98,deny,manual,15.00,20.00,TRUE,TRUE,,Clean Screen Care Kit,FALSE,active
zen-robot-vacuum,Zen Robot Vacuum,"<p>Low-profile robot vacuum with smart mapping, quiet cleaning modes, and app scheduling for daily floor care.</p>",CyberNest,Home & Garden > Household Appliances,Smart Home,"smart home, cleaning, home tech",TRUE,Color,White,CN-SH-061,3200,shopify,21,deny,manual,219.00,279.00,TRUE,TRUE,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=1200&q=80,Zen Robot Vacuum,FALSE,active
pureair-smart-purifier,PureAir Smart Purifier,"<p>Quiet air purifier with app controls, room quality alerts, and a replaceable HEPA-style filter.</p>",CyberNest,Home & Garden > Household Appliances,Home Tech,"air purifier, smart home, wellness",TRUE,Color,White,CN-HT-062,4100,shopify,18,deny,manual,189.00,239.00,TRUE,TRUE,https://images.unsplash.com/photo-1585771724684-38269d6639fd?auto=format&fit=crop&w=1200&q=80,PureAir Smart Purifier,FALSE,active
brewlink-smart-kettle,BrewLink Smart Kettle,"<p>Precision electric kettle with temperature presets for coffee, tea, and quick kitchen routines.</p>",CyberNest,Home & Garden > Kitchen & Dining,Kitchen Tech,"kitchen, smart home, gift",TRUE,Color,Matte Black,CN-KT-063,1200,shopify,34,deny,manual,74.00,99.00,TRUE,TRUE,https://images.unsplash.com/photo-1571934811356-5cc061b6821f?auto=format&fit=crop&w=1200&q=80,BrewLink Smart Kettle,FALSE,active
pixelpad-drawing-tablet,PixelPad Drawing Tablet,"<p>Slim USB drawing tablet with pressure-sensitive pen for notes, sketches, and digital art.</p>",CyberNest,Electronics > Electronics Accessories,Creator Gear,"creator, tablet, desk gear",TRUE,Size,Medium,CN-CR-064,680,shopify,26,deny,manual,89.00,119.00,TRUE,TRUE,https://images.unsplash.com/photo-1626785774573-4b799315345d?auto=format&fit=crop&w=1200&q=80,PixelPad Drawing Tablet,FALSE,active
focusbar-monitor-light,FocusBar Monitor Light,"<p>USB-C monitor light bar with adjustable brightness that keeps your desk lit without screen glare.</p>",CyberNest,Electronics > Electronics Accessories,Desk Gear,"desk gear, lighting, home office",TRUE,Color,Black,CN-DG-065,520,shopify,44,deny,manual,49.00,69.00,TRUE,TRUE,https://images.unsplash.com/photo-1516321318423-f06f85e504b3?auto=format&fit=crop&w=1200&q=80,FocusBar Monitor Light,FALSE,active
viewmate-portable-monitor,ViewMate Portable Monitor,"<p>Lightweight USB-C portable display for travel workstations, presentations, and dual-screen focus.</p>",CyberNest,Electronics > Computers,Monitors,"monitor, travel, home office",TRUE,Size,15.6 in,CN-MN-066,980,shopify,19,deny,manual,179.00,229.00,TRUE,TRUE,https://images.unsplash.com/photo-1547082299-de196ea013d6?auto=format&fit=crop&w=1200&q=80,ViewMate Portable Monitor,FALSE,active
soundbase-desktop-speakers,SoundBase Desktop Speakers,"<p>Compact stereo speakers with clear mids, easy volume control, and a clean desk-friendly footprint.</p>",CyberNest,Electronics > Audio,Audio,"audio, speakers, desk gear",TRUE,Color,Walnut,CN-AU-067,1600,shopify,25,deny,manual,79.00,109.00,TRUE,TRUE,https://images.unsplash.com/photo-1545454675-3531b543be5d?auto=format&fit=crop&w=1200&q=80,SoundBase Desktop Speakers,FALSE,active
securepad-fingerprint-lock,SecurePad Fingerprint Lock,"<p>Rechargeable fingerprint padlock for lockers, luggage, gym bags, and shared storage.</p>",CyberNest,Hardware > Locks & Keys,Security,"security, travel, smart lock",TRUE,Color,Black,CN-SC-068,210,shopify,52,deny,manual,39.00,54.00,TRUE,TRUE,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?auto=format&fit=crop&w=1200&q=80,SecurePad Fingerprint Lock,FALSE,active
petwatch-smart-feeder,PetWatch Smart Feeder,"<p>App-controlled pet feeder with scheduled portions, voice recording, and a clear food hopper.</p>",CyberNest,Animals & Pet Supplies > Pet Supplies,Home Tech,"pet tech, smart home, camera",TRUE,Color,White,CN-HT-069,2600,shopify,17,deny,manual,129.00,169.00,TRUE,TRUE,https://images.unsplash.com/photo-1601758064224-c3c00fb7e2ee?auto=format&fit=crop&w=1200&q=80,PetWatch Smart Feeder,FALSE,active
powercube-surge-station,PowerCube Surge Station,"<p>Six-outlet surge station with USB-C charging, braided cord, and desk-mount ready design.</p>",CyberNest,Electronics > Electronics Accessories,Power,"power, charger, desk gear",TRUE,Color,White,CN-PW-070,760,shopify,61,deny,manual,42.00,56.00,TRUE,TRUE,https://images.unsplash.com/photo-1609091839311-d5365f9ff1c5?auto=format&fit=crop&w=1200&q=80,PowerCube Surge Station,FALSE,active
camshield-privacy-kit,CamShield Privacy Kit,"<p>Privacy covers for laptops, tablets, and monitors, plus microfiber cloths for a cleaner setup.</p>",CyberNest,Electronics > Electronics Accessories,Computer Accessories,"privacy, laptop, accessory",TRUE,Pack,6 Pack,CN-CA-071,80,shopify,118,deny,manual,11.00,16.00,TRUE,TRUE,https://images.unsplash.com/photo-1515879218367-8466d910aaa4?auto=format&fit=crop&w=1200&q=80,CamShield Privacy Kit,FALSE,active
snapscan-portable-scanner,SnapScan Portable Scanner,"<p>Compact document scanner for receipts, contracts, notes, and lightweight home office archiving.</p>",CyberNest,"Electronics > Print, Copy, Scan & Fax",Office Tech,"scanner, home office, travel",TRUE,Color,Black,CN-OF-072,520,shopify,23,deny,manual,99.00,129.00,TRUE,TRUE,https://images.unsplash.com/photo-1586953208448-b95a79798f07?auto=format&fit=crop&w=1200&q=80,SnapScan Portable Scanner,FALSE,active

